source	status	mapped_parents	result
f70fb16ebc7b56a61dd79094f1512eb39b70e8c2	retained		bcce2c404a2ab369eb3d31e98a53e2a692a094b6
1703e07a4699b910c9a96a8029f7e3efcb4a2bf0	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
f4496193fea21f6a9096cfa93df8ec7b2e3c070a	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
99e9170ea1f4a2d3bbf47480d14f98bb104b61e4	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
2696e22cb8fcd4b33372c13b18266d0202d3d080	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
4a332a2d8c1163f7d7c78d15e0ee5de5a1f033ce	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
9a23a04d17d758c008fb71c0f13435046f999a1d	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
27193c23110af51fcd8bdd41882e18147d3ae442	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
b09256c649cbd35278c54dd133bb6106ff963396	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
58191dc86539229d62dd64549e84ac6fe40ae1e2	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
200a984c2d015c86b331c8b5a78879986389e200	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
31e0942df1bcbaabfbb0dfc21783b5a787a9a98b	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
2a42a8a5cf8b9f4cb2661a329cc9a48fccbb8535	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
130eacd17b6ee474d5ca45d9e07836619e8c23a2	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
27fe257751456e963b4f47c503cbf1469c21e829	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
a782a323946d360908f0edc94ae50315df782608	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
a4e2d97582acf95f175fd84b9b3d76b6eadc0343	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
38fc3e9a5d1f0dce60853c533f1e54e9a66a0993	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
81ce875ba0240342a7dc69009d6b392a5bff5d6e	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
79e7a6ce706b1df988937864d2995d035fbb9d98	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
4240f966573409eb28e180a08a9ad163b6112822	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
824fd43fb5f91c423be916e4c9232d57fe2fdde5	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
9fc768a4b714fd0f7c0d5108ae8a9a0324a0417c	pruned	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	bcce2c404a2ab369eb3d31e98a53e2a692a094b6
0fcfffe7aa4421e1f8834867606cd493794ea5a5	retained	bcce2c404a2ab369eb3d31e98a53e2a692a094b6	85cd9c0ee2c411f6b7b377a7cd2226502657f963
